明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
雨来了，最轻的敲打乐敲打这城市，苍茫的屋顶，远远近近，一张张敲过去，古老的琴，那细细密密的节奏，单调里自有种柔婉与亲切，滴滴点点滴滴，似幻似真，若孩时在摇篮里，一曲耳熟的童谣摇摇欲睡，母亲吟哦鼻音与喉音。	Complex 94 96 吟哦
森林里的野猪啦，小鹿啦，兔子啦，看见狐狸大摇大摆地走过来，跟往常很不一样，都很纳闷。	Complex 20 24 大摇大摆
他们开步走，手中托着空气棗他们不敢让人瞧出他们实在什么东西也没看见。	Hard 12 13 棗
顿时，石头像雹子一样带着五位壮士的决心，带着中国人民的仇恨，向敌人头上砸去。	Complex 6 8 雹子
石榴树大盆底下也有几粒没有长成的小石榴，我很生气，问妹妹们：	Complex 0 2 石榴
船长本已不耐烦我父亲那番谈话，就冷冷地回答说：“他是个法国老流氓，去年我在美洲碰到他，就把他带回祖国。	Complex 4 7 不耐烦
当时足球被称为“鞠”。	Hard 8 9 鞠
看得多了，才注意到，作为单独的一朵太阳花，其生命却极为短促，朝开夕谢，只有一日。	Complex 30 34 朝开夕谢
这真不啻是诞生了一次。	Hard 2 4 不啻
讲到智力，在我看来，蚂蚁这家伙的确莫名所以地受到了人们的过誉。	Complex 28 30 过誉
鲁肃听了非常高兴，他对吕蒙说：“我以为你还是个大老粗呢，想不到你已经变成了学问家，真不是过去的吕蒙了！”	Hard 23 26 大老粗
宇宙就会坍缩到一个大挤压。	Complex 4 6 坍缩
前面我已经说过，它捕获到一件东西；那东西一般无论对它自己或者对别人都是毫无用处的，那东西往往比其应有的体积大六倍。	Complex 35 39 毫无用处
只见那人说道：“我自有伴当烫酒。	Hard 11 15 伴当烫酒
当飞机起飞时，下面还是黑沉沉的浓夜，上空却已游动着一线微明，它如同一条狭窄的暗红色长带，带子的上面露出一片清冷的淡蓝色晨曦，晨曦上面高悬着一颗明亮的启明星。	Hard 27 29 微明
云海汩汩地围着山头，大有海中孤岛的虚幻感。	Complex 17 19 虚幻
“昆明人家常于门头挂仙人掌一片以辟邪，仙人掌悬空倒挂，尚能存活开花。	Complex 16 18 辟邪
但不到一顿饭时候，她便回来，神气很舒畅，眼光也分外有神，高兴似的对四婶说，自己已经在土地庙捐了门槛了。	Complex 47 49 门槛
幽兰吐秀乔林下，仍自盘根众草傍。	Hard 10 12 盘根
今诸君苟不于此时植其基，勤其学，则将来万一因生计所迫，出而仕事，但任讲席，则必贻误学生；置身政界，则必贻误国家。	Hard 12 15 勤其学
小时候常听老太婆口头语：“十年难逢金满斗”，意思是盛会难逢，参加后，才知道原来这种会，只有正当金星入斗那一年才举行的。	Hard 13 20 十年难逢金满斗
皇帝手里拿着一根棍子，和地面平行，候选人员一个个依次跑上前去，有时候跳过横杆，有时候在横杆下面来回爬几遍，这完全要看横杆上升或者下降的情形而定有时候皇帝和首相各拿着木棍的一头。	Hard 77 79 首相
早饭之后，她便到镇的西头的土地庙里去求捐门槛，庙祝起初执意不允许，直到她急得流泪，才勉强答应了。	Hard 20 22 门槛
《红楼梦》是我在十二三岁时候看的，起初我对它的兴趣并不大，贾宝玉的女声女气，林黛玉的哭哭啼啼，都使我厌烦，还是到了中年以后再拿起这部书看时，才尝到“满纸荒唐言，一把辛酸泪”一个朝代和家庭的兴亡盛衰的滋味。	Hard 74 79 满纸荒唐言
你吟诵着一首首小诗，是邀我与你唱和吗？	Complex 1 3 吟诵
一个人对于自己的职业不敬，从学理方面说，便是亵读职业之神圣；从事实方面说，一定把事情做糟了，结果自己害自己。	Hard 22 24 亵读
那男人虎虎地在起得慢一点的“猪猡”身上踢了几脚，回转身来站在不满二尺阔的楼梯上面，向着楼上的另一群生物呼喊：	Hard 14 16 猪猡
这所谓灵柩，其实只是一卷用绳子捆着的芦席，说书人的脚从席子里露出来，不住随着杠手的步骤摆动，他的破长衫的一角直垂到地上，一路上扫着路上的浮土。	Complex 3 5 灵柩
我从他俨然的脸色上，又忽而疑他正以为我不早不迟，偏要在这时候来打搅他，也是一个谬种，便立刻告诉他明天要离开鲁镇，进城去，趁早放宽了他的心。	Hard 39 41 谬种
其次的话，大略是说上年解剖学试验的题目，是藤野老师讲义上做了记号，我预先知道的，所以能有这样的成绩。	Complex 11 14 解剖学
又如“信”，古代只指送信的人，现在的信古代叫“书”，《世说新语》：“俄而谢玄淮上信至，［谢安］看书竟，默默无言”，“信”和“书”的分别是很清楚的。	Hard 34 42 俄而谢玄淮上信至
老头儿说着又把刀子扎进它的脊骨和脑子中间去。	Complex 13 15 脊骨
“吹面不寒杨柳风”，不错的，像母亲的手抚摸着你。	Hard 1 8 吹面不寒杨柳风
圆圆是女生，喜欢安安静静地在一边啃竹子。	Complex 16 19 啃竹子
我给那些因为在近旁而极响的爆竹声惊醒，看见豆一般大的黄色的灯火光，接着又听得毕毕剥剥的鞭炮，是四叔家正在“祝福”了；知道已是五更将近时候。	Complex 38 42 毕毕剥剥
终于还是将那层干菜帮子全部撕光，露出了鲜嫩的、洁白的菜帮。	Hard 9 11 帮子
它的眼睛闪闪有光，并且目光十分坦率；它的耳朵也长得好，并且不大不小，不像牛耳太短，驴耳太长；它的鬣毛正好衬着它的头，装饰着它的颈部，给予它一种强劲而豪迈的模样；它那下垂而茂盛的尾巴覆盖着、并且美观地结束着它的身躯的末端：马尾和鹿、象等的短尾，驴、骆驼、犀牛等的秃尾都大不相同，它是密而长的鬃毛构成的，仿佛这些鬃毛就直接从屁股上生长出来，因为长出鬃毛的那个小肉桩子很短。	Hard 48 50 鬣毛
据后代文人考订，《清明上河图》可能作于政和至宣和年间，那正是北宋统治者在覆灭之前大造盛世假象，以此掩盖内忧外患的时期，建炎之后，南渡的北宋遗民怀念故土，在他们眼中，这副图卷必有其特殊的意义，正是他们回首故土，梦回繁华的写照。	Hard 5 7 考订
有的人不爱看张开嘴的猪，有的人瞧见一头猫就要发脾气，还有人听见人家吹风笛的声音，就忍不住要小便；因为一个人的感情完全受着喜恶的支配，谁也做不了自己的主。	Complex 63 65 支配
无论春夏秋冬，无论严寒酷暑，这里四季如春，景色怡人。	Complex 16 20 四季如春
缴租，还债，解会钱，大概能够对付过去吧；对付过去之外，大概还有多馀吧。	Complex 0 2 缴租
全体干部、战士斗志昂扬，并且提出了渡江战斗竞赛：看谁打得顽强勇猛，看谁先到对岸，看谁先占领并巩固住江边的阵地。	Complex 46 48 巩固
目光在已经走过的千里之间来回，痴想着其间在夜幕雨帐笼罩下的无数江河和高山。	Complex 21 25 夜幕雨帐
他这次不像以往那么立刻起身，观众也不像以往那样马上给他掌声，都陷入了一种回味，都浸淫了一种酸楚的离情。	Complex 48 50 离情
阿尔卑斯山的意大利人，当他们在山南坡把在山北坡得到精心保护的那同一种枞树林砍光用尽时，没有预料到，这样一来，他们就把本地区的高山畜牧业的根基毁掉了；他们更没有预料到，他们这样做，竟使山泉在一年中的大部分时间内枯竭了，同时在雨季又使更加凶猛的洪水倾泻到平原上。	Complex 122 124 倾泻
两处都是孔老夫子认为虽心向往之而力有未能的，可是叶圣陶先生却偏偏做到了。	Complex 16 20 力有未能
江理以“从者七人，二僧与俱”，组成一支浩浩荡荡的登山队，“一仆前持斧斤，剪伐丛莽，一仆鸣金继之，二三人肩糗执剑戟以随。”	Hard 36 40 剪伐丛莽
有些人，他们的姓氏我已经遗忘，他们的脸却恒常浮着——像晴空，在整个雨季中我们可能不见它，却清晰地记得它。	Complex 20 22 恒常
后来，汉朝政府在张骞走过的路上设置了四个郡，这条以长安为起点，经过河西四郡，一直通向印度、西亚乃至欧洲的交通要道——丝绸之路就畅通无阻了。	Complex 63 67 畅通无阻
我看见蜘蛛把它的腿像球样旋动，静静地躺上几小时，一直小心翼翼地注视着外界的动静，当一只苍蝇碰巧爬得够近时，它就忽然冲出洞穴，攫住它的俘获物。	Hard 62 64 攫住
倾盆大雨中，大大小小雪亮的珠子从天上撒下，在碧蓝的海水里沸腾、翻滚，它们在跳跃，它们在歌唱。	Complex 28 30 沸腾
每当我们读文天祥的《正气歌》“天地有正气，杂然赋流形，下则为河岳，上则为日星……”	Hard 21 26 杂然赋流形
头发约莫寸长，显然好久没剪了，却一根一根精神抖擞地直竖着。	Complex 2 4 约莫
水，装饰地球环境的珍珠、轻纱和彩带，无论是晶莹的水珠、雨雾云霭，还是纷纷扬扬的雪花、五彩缤纷的彩虹。	Complex 42 46 五彩缤纷
手提梢棒便走。	Hard 2 4 梢棒
我呆呆地望着来来往往吊唁的人，想到我从此永远见不到伯父的面了，听不到他的声音了，也得不到他的爱抚了，泪珠就一滴一滴地掉下来。	Hard 10 12 吊唁
我们看诗人动不动就说“秦时明月汉时关，万里长征人未还”，动不动就说“男儿何不带吴钩？	Hard 34 41 男儿何不带吴钩
我把碗端到嘴边，泪珠大颗大颗地落在热气腾腾的鱼汤里。	Complex 17 21 热气腾腾
北京时间上午9时30分，年轻的登山队员——运动健将王富洲、刘连满、屈银华和一级运动员贡布(藏族)四人，背着高山背包，扶着冰镐，开始向珠穆朗玛顶峰最后的380米高度冲击。	Hard 60 62 冰镐
于是三人乘马引从者往隆中。	Hard 6 9 引从者
二十一岁的老师解开蒙古袍衣襟，把十岁的孩子搂在身旁，在绵绵春雨中，送孩子回家。	Complex 12 14 衣襟
美猴王领一群猿猴、猕猴、马猴等，分派了君臣佐使，朝游花果山，暮宿水帘洞，合契同情，不入飞鸟之丛，不从走兽之类，独自为王，不胜欢乐。	Complex 19 23 君臣佐使
当胃的出口——幽门因病变发生阻塞时，饮食难以下通，滞留在胃部，称为幽门梗阻。	Complex 14 16 阻塞
比较早的有葡萄、苜蓿、茉莉、苹果、菠菜等等，近代的像咖啡、可可、柠檬、雪茄、巧克力、冰淇淋、白兰地、啤酒、卡片、沙发、扑克、哔叽、尼龙、法兰绒、道林纸、芭蕾舞等等，都是极常见的。	Hard 62 64 哔叽
田间与灌木篱下，横陈着田凫、椋鸟、画眉等数不清的腐鸟的血衣，鸟儿的肉已被隐秘的老饕吃净了。	Hard 39 41 老饕
视线里弥漫着黄褐色的沙地，从车轮下一直通向地球的尽头。	Complex 3 5 弥漫
领头在纤绳前后跑来跑去，见到有人没有全力以赴，竹板就打在光着的背上。	Complex 3 5 纤绳
他重重地掉在地上，光滑的壳上摔出了好多裂纹。	Complex 19 21 裂纹
不少君主重视求谏，尧设诽谤之术，舜悬招谏之鼓；封建时设立谏诤机构，付薪水养了一批谏议大夫、拾遣、补阙、正言之类的官员专挑皇帝的毛病，都是对批评稀缺的补救措施。	Complex 28 30 谏诤
那天早晨9时，在酒泉卫星发射中心，随着一声震耳欲聋的巨响，我国自行研发的“神舟五号”飞船被送上太空，火箭划过一道绚丽的曲线，看起来宛若一条蜿蜒的苍龙，瞬间便消失在苍穹之中。	Complex 33 35 研发
无智慧的书，往往材料堆积得和蚁丘一样，议论虽多，见解毫无。	Hard 14 16 蚁丘
我们都很相信这句话。	Complex 4 6 相信
罗伯特为攒钱买战斗机这事非常苦恼。	Complex 4 6 攒钱
这个唤做“智取生辰纲”。	Hard 7 10 生辰纲
以前看见包弟作揖，我就想笑，这些天我在机关学习后回家，包弟向我作揖讨东西吃，我却暗暗地流泪。	Hard 6 8 作揖
后来，黑子不再信赖它的训导员，甚至不再信赖所有的人。	Hard 11 14 训导员
至如梁、柱、枋、標、门、窗、墙、瓦、植、阶、栏杆、隔扇、斗拱、正脊、垂脊、正吻、戗兽、正房、厢房、游廊、庭院、夹道等等。	Hard 28 30 斗拱
我小心翼翼地伸出左脚去探那块岩石，而且踩到了它。	Complex 1 5 小心翼翼
其实，在约翰·肯尼迪图书馆建成的前一年———1978年，华盛顿国家艺术馆东楼的设计建造成功，便已奠定贝聿铭作为世界建筑大师的地位了。	Complex 50 53 贝聿铭
两个虞候口里不言，肚中寻思：“这厮不值得便骂人！”	Hard 15 17 这厮
六岁的小女孩柔弱的身体成了黑脸大汉手中一块生面团，翻过来、椆过去、立起来、横过去，抻、拉、压、拽，为所欲为，奶奶看不过我被整得满脸的泪水和汗水，每次都目不忍视地躲到里屋。	Hard 29 30 椆
那两边平水上的冰被当中乱冰挤破了，往岸上跑。	Complex 13 15 挤破
